date,qqq_close,tqqq_close,sma100,sma200,position,shares,cash,portfolio_value,portfolio_return_pct,daily_return_pct,drawdown_pct,trade_executed
2010-02-11,37.9,0.21,,,0,0.0,10000.0,10000.0,0.00%,0.00%,0.00%,0
2010-02-12,37.98,0.21,,,0,0.0,10000.0,10000.0,0.00%,0.00%,0.00%,0
2010-02-16,38.47,0.21,,,0,0.0,10000.0,10000.0,0.00%,0.00%,0.00%,0
2010-02-17,38.69,0.22,,,0,0.0,10000.0,10000.0,0.00%,0.00%,0.00%,0
2010-02-18,38.93,0.22,,,0,0.0,10000.0,10000.0,0.00%,0.00%,0.00%,0
2010-02-19,38.91,0.22,,,0,0.0,10000.0,10000.0,0.00%,0.00%,0.00%,0
2010-02-22,38.83,0.22,,,0,0.0,10000.0,10000.0,0.00%,0.00%,0.00%,0
2010-02-23,38.33,0.21,,,0,0.0,10000.0,10000.0,0.00%,0.00%,0.00%,0
2010-02-24,38.72,0.22,,,0,0.0,10000.0,10000.0,0.00%,0.00%,0.00%,0
2010-02-25,38.71,0.22,,,0,0.0,10000.0,10000.0,0.00%,0.00%,0.00%,0
2010-02-26,38.85,0.22,,,0,0.0,10000.0,10000.0,0.00%,0.00%,0.00%,0
2010-03-01,39.41,0.23,,,0,0.0,10000.0,10000.0,0.00%,0.00%,0.00%,0
2010-03-02,39.54,0.23,,,0,0.0,10000.0,10000.0,0.00%,0.00%,0.00%,0
2010-03-03,39.58,0.23,,,0,0.0,10000.0,10000.0,0.00%,0.00%,0.00%,0
2010-03-04,39.71,0.24,,,0,0.0,10000.0,10000.0,0.00%,0.00%,0.00%,0
2010-03-05,40.31,0.25,,,0,0.0,10000.0,10000.0,0.00%,0.00%,0.00%,0
2010-03-08,40.39,0.25,,,0,0.0,10000.0,10000.0,0.00%,0.00%,0.00%,0
2010-03-09,40.61,0.25,,,0,0.0,10000.0,10000.0,0.00%,0.00%,0.00%,0
2010-03-10,40.94,0.26,,,0,0.0,10000.0,10000.0,0.00%,0.00%,0.00%,0
2010-03-11,41.1,0.26,,,0,0.0,10000.0,10000.0,0.00%,0.00%,0.00%,0
2010-03-12,41.11,0.26,,,0,0.0,10000.0,10000.0,0.00%,0.00%,0.00%,0
2010-03-15,41.0,0.26,,,0,0.0,10000.0,10000.0,0.00%,0.00%,0.00%,0
2010-03-16,41.26,0.26,,,0,0.0,10000.0,10000.0,0.00%,0.00%,0.00%,0
2010-03-17,41.38,0.27,,,0,0.0,10000.0,10000.0,0.00%,0.00%,0.00%,0
2010-03-18,41.51,0.27,,,0,0.0,10000.0,10000.0,0.00%,0.00%,0.00%,0
2010-03-19,41.26,0.26,,,0,0.0,10000.0,10000.0,0.00%,0.00%,0.00%,0
2010-03-22,41.64,0.27,,,0,0.0,10000.0,10000.0,0.00%,0.00%,0.00%,0
2010-03-23,41.92,0.28,,,0,0.0,10000.0,10000.0,0.00%,0.00%,0.00%,0
2010-03-24,41.72,0.27,,,0,0.0,10000.0,10000.0,0.00%,0.00%,0.00%,0
2010-03-25,41.66,0.27,,,0,0.0,10000.0,10000.0,0.00%,0.00%,0.00%,0
2010-03-26,41.71,0.27,,,0,0.0,10000.0,10000.0,0.00%,0.00%,0.00%,0
2010-03-29,41.91,0.28,,,0,0.0,10000.0,10000.0,0.00%,0.00%,0.00%,0
2010-03-30,42.05,0.28,,,0,0.0,10000.0,10000.0,0.00%,0.00%,0.00%,0
2010-03-31,41.85,0.28,,,0,0.0,10000.0,10000.0,0.00%,0.00%,0.00%,0
2010-04-01,41.85,0.28,,,0,0.0,10000.0,10000.0,0.00%,0.00%,0.00%,0
2010-04-05,42.24,0.28,,,0,0.0,10000.0,10000.0,0.00%,0.00%,0.00%,0
2010-04-06,42.36,0.29,,,0,0.0,10000.0,10000.0,0.00%,0.00%,0.00%,0
2010-04-07,42.25,0.28,,,0,0.0,10000.0,10000.0,0.00%,0.00%,0.00%,0
2010-04-08,42.35,0.28,,,0,0.0,10000.0,10000.0,0.00%,0.00%,0.00%,0
2010-04-09,42.6,0.29,,,0,0.0,10000.0,10000.0,0.00%,0.00%,0.00%,0
2010-04-12,42.64,0.29,,,0,0.0,10000.0,10000.0,0.00%,0.00%,0.00%,0
2010-04-13,42.85,0.3,,,0,0.0,10000.0,10000.0,0.00%,0.00%,0.00%,0
2010-04-14,43.37,0.31,,,0,0.0,10000.0,10000.0,0.00%,0.00%,0.00%,0
2010-04-15,43.56,0.31,,,0,0.0,10000.0,10000.0,0.00%,0.00%,0.00%,0
