date,qqq_close,sma100,sma190,buy_signal,sell_signal,target_position
2010-02-11,43.67,43.74,40.9,0,0,0
2010-02-12,43.76,43.75,40.95,1,0,1
2010-02-16,44.32,43.77,41.01,1,0,1
2010-02-17,44.57,43.79,41.07,1,0,1
2010-02-18,44.85,43.82,41.12,1,0,1
2010-02-19,44.83,43.85,41.18,1,0,1
2010-02-22,44.74,43.87,41.23,1,0,1
2010-02-23,44.16,43.89,41.29,1,0,1
2010-02-24,44.61,43.92,41.35,1,0,1
2010-02-25,44.6,43.95,41.4,1,0,1
2010-02-26,44.76,43.99,41.45,1,0,1
2010-03-01,45.41,44.03,41.51,1,0,1
2010-03-02,45.55,44.07,41.56,1,0,1
2010-03-03,45.6,44.1,41.61,1,0,1
2010-03-04,45.75,44.14,41.66,1,0,1
2010-03-05,46.44,44.18,41.71,1,0,1
2010-03-08,46.53,44.22,41.76,1,0,1
2010-03-09,46.79,44.26,41.82,1,0,1
2010-03-10,47.17,44.3,41.87,1,0,1
2010-03-11,47.35,44.34,41.93,1,0,1
2010-03-12,47.36,44.39,41.98,1,0,1
2010-03-15,47.24,44.43,42.04,1,0,1
2010-03-16,47.54,44.47,42.09,1,0,1
2010-03-17,47.67,44.52,42.16,1,0,1
2010-03-18,47.83,44.56,42.22,1,0,1
2010-03-19,47.49,44.61,42.28,1,0,1
2010-03-22,47.92,44.66,42.35,1,0,1
2010-03-23,48.25,44.71,42.41,1,0,1
2010-03-24,48.02,44.78,42.48,1,0,1
2010-03-25,47.95,44.84,42.55,1,0,1
2010-03-26,48.0,44.91,42.61,1,0,1
2010-03-29,48.23,44.98,42.67,1,0,1
2010-03-30,48.39,45.05,42.74,1,0,1
2010-03-31,48.16,45.12,42.8,1,0,1
2010-04-01,48.16,45.18,42.86,1,0,1
2010-04-05,48.61,45.24,42.92,1,0,1
2010-04-06,48.75,45.29,42.99,1,0,1
2010-04-07,48.63,45.34,43.06,1,0,1
2010-04-08,48.74,45.39,43.14,1,0,1
2010-04-09,49.03,45.44,43.21,1,0,1
2010-04-12,49.07,45.49,43.29,1,0,1
2010-04-13,49.32,45.54,43.36,1,0,1
2010-04-14,49.91,45.6,43.44,1,0,1
2010-04-15,50.13,45.65,43.52,1,0,1
2010-04-16,49.53,45.71,43.58,1,0,1
2010-04-19,49.5,45.77,43.65,1,0,1
2010-04-20,49.75,45.83,43.71,1,0,1
2010-04-21,50.03,45.89,43.77,1,0,1
2010-04-22,50.31,45.95,43.84,1,0,1
2010-04-23,50.52,46.02,43.9,1,0,1
2010-04-26,50.41,46.09,43.96,1,0,1
2010-04-27,49.34,46.14,44.01,1,0,1
2010-04-28,49.37,46.2,44.07,1,0,1
2010-04-29,50.23,46.26,44.12,1,0,1
2010-04-30,49.24,46.31,44.18,1,0,1
2010-05-03,49.93,46.37,44.23,1,0,1
2010-05-04,48.43,46.42,44.28,1,0,1
2010-05-05,48.18,46.46,44.32,1,0,1
2010-05-06,46.57,46.48,44.36,1,0,1
2010-05-07,45.41,46.49,44.39,0,0,1
2010-05-10,47.77,46.53,44.43,1,0,1
2010-05-11,47.72,46.56,44.47,1,0,1
2010-05-12,48.62,46.6,44.52,1,0,1
2010-05-13,47.85,46.64,44.56,1,0,1
2010-05-14,46.93,46.67,44.6,1,0,1
2010-05-17,47.08,46.69,44.64,1,0,1
2010-05-18,46.43,46.7,44.67,0,0,1
2010-05-19,46.06,46.71,44.71,0,0,1
2010-05-20,44.35,46.69,44.74,0,1,0
2010-05-21,44.84,46.68,44.77,0,0,0
2010-05-24,44.66,46.66,44.8,0,1,0
2010-05-25,44.7,46.65,44.82,0,1,0
