trade_num,entry_date,entry_price,shares,entry_value,exit_date,exit_price,exit_value,trade_return_pct,trade_return_decimal,pnl_dollars,cumulative_pnl,days_held
1,2010-02-16,0.22,44991.136,10000.0,2010-05-21,0.21,9376.65,-6.23%,-0.0623,-623.35,-623.35,94
2,2010-06-04,0.24,39515.2263,9376.65,2010-06-08,0.22,8554.41,-8.77%,-0.0877,-822.23,-1445.59,4
3,2010-06-16,0.25,34328.4689,8554.41,2010-06-29,0.22,7451.23,-12.90%,-0.129,-1103.18,-2548.77,13
4,2010-08-05,0.25,30093.3535,7451.23,2010-08-12,0.21,6430.89,-13.69%,-0.1369,-1020.35,-3569.11,7
5,2010-09-09,0.24,26355.024,6430.89,2011-06-16,0.37,9743.14,51.51%,0.5151,3312.25,-256.86,280
6,2011-07-01,0.43,22674.9085,9743.14,2011-08-05,0.37,8465.29,-13.12%,-0.1312,-1277.84,-1534.71,35
7,2011-09-19,0.37,22583.5053,8465.29,2011-09-22,0.34,7606.64,-10.14%,-0.1014,-858.65,-2393.36,3
8,2011-10-12,0.39,19637.9539,7606.64,2011-11-18,0.36,7034.88,-7.52%,-0.0752,-571.76,-2965.12,37
9,2011-12-01,0.36,19281.8984,7034.88,2011-12-09,0.36,6986.68,-0.69%,-0.0069,-48.2,-3013.32,8
10,2011-12-12,0.36,19163.4838,6986.68,2011-12-14,0.35,6656.32,-4.73%,-0.0473,-330.36,-3343.68,2
11,2011-12-28,0.36,18441.7298,6656.32,2011-12-29,0.35,6476.7,-2.70%,-0.027,-179.62,-3523.3,1
12,2012-01-04,0.37,17387.1097,6476.7,2012-11-01,0.54,9434.32,45.67%,0.4567,2957.62,-565.68,302
13,2013-01-03,0.59,16004.4977,9434.32,2014-10-17,1.49,23870.04,153.01%,1.5301,14435.72,13870.04,652
14,2014-10-22,1.7,14073.9663,23870.04,2015-08-24,1.56,22005.24,-7.81%,-0.0781,-1864.8,12005.24,306
15,2015-10-19,2.16,10172.8921,22005.24,2016-01-07,2.01,20494.14,-6.87%,-0.0687,-1511.1,10494.14,80
16,2016-03-23,2.06,9929.5321,20494.14,2016-03-24,1.99,19786.66,-3.45%,-0.0345,-707.48,9786.66,1
17,2016-03-30,2.15,9191.5194,19786.66,2016-04-28,2.04,18744.96,-5.26%,-0.0526,-1041.7,8744.96,29
18,2016-05-25,2.09,8953.7036,18744.96,2016-06-20,2.04,18259.96,-2.59%,-0.0259,-485.0,8259.96,26
19,2016-06-24,1.88,9738.6453,18259.96,2016-06-27,1.8,17503.19,-4.14%,-0.0414,-756.77,7503.19,3
20,2016-07-05,2.01,8717.0883,17503.19,2016-07-06,1.97,17179.92,-1.85%,-0.0185,-323.26,7179.92,1
21,2016-07-07,2.05,8362.6044,17179.92,2018-10-12,7.22,60398.91,251.57%,2.5157,43218.98,50398.91,827
22,2019-02-19,6.2,9749.6218,60398.91,2019-02-22,6.26,61008.26,1.01%,0.0101,609.35,51008.26,3
23,2019-02-25,6.5,9384.0818,61008.26,2019-03-08,5.97,55999.51,-8.21%,-0.0821,-5008.75,45999.51,11
24,2019-03-12,6.58,8512.1808,55999.51,2019-06-03,6.23,53009.61,-5.34%,-0.0534,-2989.9,43009.61,83
25,2019-06-07,6.75,7853.2749,53009.61,2020-03-10,8.5,66733.21,25.89%,0.2589,13723.6,56733.21,277
26,2020-04-15,7.61,8764.8277,66733.21,2022-01-21,30.31,265661.92,298.10%,2.981,198928.72,255661.92,646
27,2022-03-30,30.84,8614.1998,265661.92,2022-03-31,30.32,261182.53,-1.69%,-0.0169,-4479.39,251182.53,1
28,2023-01-27,11.18,23361.5856,261182.53,2023-01-31,10.97,256276.6,-1.88%,-0.0188,-4905.93,246276.6,4
29,2023-02-01,11.43,22421.3993,256276.6,2023-03-13,10.23,229483.01,-10.45%,-0.1045,-26793.59,219483.01,40
30,2023-03-14,11.06,20748.9155,229483.01,2025-03-07,32.78,680149.42,196.38%,1.9638,450666.41,670149.42,724
